Text,Location,Latitude,Longitude,Label,Language,Language_ID
வெள்ளச் சேத மதிப்பீட்டுக் குழுக்கள் பாதிக்கப்பட்ட பகுதிகளை ஆய்வு செய்கின்றன.,Tirunelveli,8.7139,77.7567,1,tn,3.0
Tsunami carried shipping containers inland.,Veraval,20.915,70.3667,2,en,0.0
Families escaping on foot from tsunami waters.,Kolkata,22.5726,88.3639,2,en,0.0
Flood emergency hotlines receiving thousands of calls.,Kolhapur,16.705,74.2433,1,en,0.0
"अभी खाली कर रहा हूँ, सुनामी की लहरें टकरा रही हैं।",Thiruvananthapuram,8.5241,76.9366,2,hi,1.0
Tsunami alert system testing scheduled.,Amritsar,31.634,74.8723,2,en,0.0
कल रात की बाढ़ के बाद घर नष्ट हो गए।,Bengaluru,12.9716,77.5946,1,hi,1.0
വാർഷിക സുനാമി അനുസ്മരണ ചടങ്ങ് നടന്നു.,Delhi,28.7041,77.1025,2,ml,2.0
"அவசர சைரன்கள் ஒலிக்கின்றன, சுனாமி உறுதிப்படுத்தப்பட்டது.",Chennai,13.0827,80.2707,2,tn,3.0
बाढ़ग्रस्त स्कूलों से बच्चों को बचाया गया।,Jalgaon,21.0077,75.5626,1,hi,1.0
बाढ़ पीड़ितों को कंबल और पानी की बोतलें मिल रही हैं।,Kanpur,26.4499,80.3319,1,hi,1.0
സുനാമി അടുക്കുമ്പോൾ ആളുകൾ അലറുന്നത് കേൾക്കാം.,Kollam,8.891,76.614,2,ml,2.0
Immediate evacuation has been ordered by the authorities to avoid worsening further issues.,Surat,21.1702,72.8311,1,en,0.0
പ്രാദേശിക സ്റ്റാളുകളിൽ മാമ്പഴക്കാലം ആസ്വദിക്കുന്ന ജനക്കൂട്ടം.,Nagpur,21.1458,79.0882,0,ml,2.0
புதிய மீன்கள் மற்றும் சிரிப்புடன் உள்ளூர் சந்தை பரபரப்பாக உள்ளது.,Kollam,8.891,76.614,0,tn,3.0
சுனாமி காப்பீட்டு உரிமங்கள் செயல்படுத்தப்படுகின்றன.,Jaipur,26.9124,75.7873,2,tn,3.0
അടുത്ത് ഭാവിയിൽ അടച്ചുപൂട്ടാൻ സൂഡിയോസ് പദ്ധതിയിടുന്നു.,Patiala,30.3398,76.3869,0,ml,2.0
सुनामी के हमले के बाद देश सहायता भेज रहे हैं।,Goa,15.4909,73.8278,2,hi,1.0
बाढ़ चेतावनी प्रणाली को उन्नत किया जा रहा है।,Raipur,21.2514,81.6296,1,hi,1.0
സുനാമിക്ക് ശേഷം ദുരിതാശ്വാസ ക്യാമ്പുകൾ നിറയുന്നു.,Visakhapatnam,17.7041,83.2977,2,ml,2.0
സുനാമി അതിവേഗ പ്രതികരണ ടീമിന്റെ പരിശീലനം തുടരുന്നു.,Bhopal,23.2599,77.4126,2,ml,2.0
पार्क में सांस्कृतिक प्रदर्शन में भाग लेते परिवार।,Guwahati,26.1445,91.7362,0,hi,1.0
கடற்கரையோரம் குழந்தைகள் மிதிவண்டிகளை ஓட்டுகிறார்கள்.,Puri,19.8135,85.8312,0,tn,3.0
सुनामी अनाथों की आश्रयों में देखभाल की जा रही है।,Puri,19.8135,85.8312,2,hi,1.0
Heavy rain has caused the main road to be completely flooded.,Mumbai,18.975,72.8258,1,en,0.0
Families enjoying river cruises together.,Guwahati,26.1445,91.7362,0,en,0.0
एक स्थानीय कैफे में चाय पर हँसते दोस्त।,Chennai,13.0827,80.2707,0,hi,1.0
തോണി തുഴയാൻ കുട്ടികളെ പഠിപ്പിക്കുന്ന പ്രാദേശിക മത്സ്യത്തൊഴിലാളികൾ.,Gopalpur,19.2833,84.9167,0,ml,2.0
"കടൽ നഗരത്തിലേക്ക് അലറി വന്നു, സുനാമി സ്ഥിരീകരിച്ചു.",Mangaluru,12.9141,74.856,2,ml,2.0
குழந்தைகள் அலைகளுக்கு அருகில் மகிழ்ச்சியாக டேக் விளையாடுகிறார்கள்.,Udupi,13.3409,74.7421,0,tn,3.0
വെള്ളപ്പൊക്ക ദുരിതബാധിതർക്ക് സഹായം നൽകുന്ന ഹെലികോപ്റ്ററുകൾ.,Bangalore,12.9716,77.5946,1,ml,2.0
Flood has ruined hundreds of houses.,Ahmedabad,23.0225,72.5714,1,en,0.0
Flood reported across multiple states.,Varanasi,25.3176,82.9739,1,en,0.0
மாவட்டம் முழுவதும் வெள்ள நிவாரண முகாம்கள் அமைக்கப்பட்டு வருகின்றன.,Gorakhpur,26.7606,83.3732,1,tn,3.0
കടൽത്തീരത്ത് ജന്മദിനം ആഘോഷിക്കുന്ന കുടുംബങ്ങൾ.,Bekal,12.39,75.034,0,ml,2.0
സുനാമി എല്ലായിടത്തും ചെളിയും അവശിഷ്ടങ്ങളും അവശേഷിപ്പിച്ചു.,Veraval,20.915,70.3667,2,ml,2.0
Flood relief operations hampered by bad weather.,Solapur,17.6599,75.9064,1,en,0.0
நகரில் வெள்ள நீரின் மூலம் குடிநீர் விநியோகம் அசுத்தமடைந்துள்ளது.,Meerut,28.9845,77.7064,1,tn,3.0
New tsunami warning towers installed.,Kavaratti,10.5625,72.6378,2,en,0.0
"बाहर निकलने से डर लग रहा है, बाढ़ बढ़ रही है।",Nagpur,21.1458,79.0882,1,hi,1.0
बाढ़ आपदा के लिए स्कूल पाठ्यक्रम में शामिल सबक।,Raipur,21.2514,81.6296,1,hi,1.0
लोग छाती तक गहरे बाढ़ के पानी से गुज़र रहे हैं।,Chennai,13.0827,80.2707,1,hi,1.0
बाढ़ के पानी से दूषित कुएँ।,Varanasi,25.3176,82.9739,1,hi,1.0
Flood has forced thousands to flee.,Guwahati,26.1445,91.7362,1,en,0.0
"தூங்க முடியவில்லை, சுனாமி இன்னும் எங்கள் பகுதியை மூழ்கடித்துக் கொண்டிருக்கிறது.",Mumbai,18.975,72.8258,2,tn,3.0
व्यस्त बाज़ारों में खुशी से खरीदारी करते परिवार।,Ahmedabad,23.0225,72.5714,0,hi,1.0
സുനാമിയിൽ നിന്ന് തീരദേശ ആവാസവ്യവസ്ഥകൾ കരകയറുന്നു.,Mangaluru,12.9141,74.856,2,ml,2.0
स्थानीय बाज़ार सुनामी की लहरों से सपाट हो गया है।,Kolkata,22.5726,88.3639,2,hi,1.0
Schools are closed due to flood damage.,Lucknow,26.8467,80.9462,1,en,0.0
വല നന്നാക്കുമ്പോൾ പാട്ടുപാടുന്ന മത്സ്യത്തൊഴിലാളികൾ.,Thoothukudi,8.7642,78.1348,0,ml,2.0
Rivers overflowing their banks causing widespread flooding.,Rajkot,22.3039,70.8022,1,en,0.0
സുനാമി ചിത്രങ്ങൾ ഹൃദയഭേദകമാണ്.,Puducherry,11.9416,79.8083,2,ml,2.0
சுனாமிக்குப் பிறகு கடலோர நகரங்களில் உள்கட்டமைப்பு சரிந்தது.,Thiruvananthapuram,8.5241,76.9366,2,tn,3.0
വെള്ളപ്പൊക്ക ഇരകൾക്ക് മാനസികാരോഗ്യ കൗൺസിലിംഗ് നൽകുന്നു.,Hubli,15.3647,75.124,1,ml,2.0
बाढ़ की चेतावनी के लिए सायरन बज रहे हैं।,Kanpur,26.4499,80.3319,1,hi,1.0
തീരദേശ ചന്തകൾ സുനാമിയിൽ മുങ്ങി നശിച്ചു.,Nagpur,21.1458,79.0882,2,ml,2.0
இப்போதெல்லாம் நிறைய கல்லூரி மாணவர்கள் மால்கள் மற்றும் கஃபேய்களுக்கு அருகில் காணப்படுகிறார்கள்.,Bangalore,12.9716,77.5946,0,tn,3.0
लाइटहाउस पर सेल्फी लेते पर्यटक।,Puri,19.8135,85.8312,0,hi,1.0
हावड़ा ब्रिज का अन्वेषण करते और तस्वीरें लेते पर्यटक।,Kolkata,22.5726,88.3639,0,hi,1.0
സുനാമി സന്നദ്ധതാ പരിശീലനം നടത്തും.,Visakhapatnam,17.7041,83.2977,2,ml,2.0
बाढ़ के बाद पानी की गुणवत्ता की लगातार निगरानी।,Varanasi,25.3176,82.9739,1,hi,1.0
बाढ़ से प्रभावित क्षेत्रों के लिए दीर्घकालिक पुनर्प्राप्ति योजनाएँ।,Patna,25.5941,85.1376,1,hi,1.0
Children buying balloons from beachside stalls.,Paradip,20.3167,86.6167,0,en,0.0
सुनामी बचे लोग भयावह कहानियाँ साझा कर रहे हैं।,Karaikal,10.9236,79.8381,2,hi,1.0
People clapping for a street magician in the city square.,Indore,22.7196,75.8577,0,en,0.0
पानी का स्तर तेज़ी से बढ़ रहा है और घर डूब रहे हैं।,Kolkata,22.5726,88.3639,1,hi,1.0
மணல் அருகே கைப்பந்து போட்டியை நண்பர்கள் ரசிக்கிறார்கள்.,Digha,21.6278,87.5078,0,tn,3.0
എന്റെ അയൽപക്കത്ത് വെള്ളപ്പൊക്കം അതിവേഗം കൂടുകയാണ്.,Mumbai,18.975,72.8258,1,ml,2.0
बाढ़ के विनाश पर वैश्विक ध्यान मिल रहा है।,Patiala,30.3398,76.3869,1,hi,1.0
People savoring street snacks in the night market.,Surat,21.1702,72.8311,0,en,0.0
നദീതീരത്ത് വെള്ളപ്പൊക്കം ഉയരുന്നതിനെക്കുറിച്ച് പ്രാദേശിക അധികൃതർ മുന്നറിയിപ്പ് നൽകുന്നു.,Indore,22.7196,75.8577,1,ml,2.0
Friends singing songs around a bonfire by the sea.,Cuddalore,11.75,79.75,0,en,0.0
വെള്ളപ്പൊക്ക ഇരകൾക്ക് അടിയന്തര വൈദ്യസഹായം ആവശ്യമാണ്.,Jammu,32.7266,74.857,1,ml,2.0
Families picnicking in a botanical garden.,Chennai,13.0827,80.2707,0,en,0.0
पड़ोस के पार्क में लुका-छिपी खेलते बच्चे।,Bangalore,12.9716,77.5946,0,hi,1.0
சுனாமி ஆராய்ச்சிக் கூடம் நிறுவப்பட்டது.,Ahmedabad,23.0225,72.5714,2,tn,3.0
LIVE: Tsunami waves battering the coastline.,Kavaratti,10.5625,72.6378,2,en,0.0
बाढ़ के कारण हमें एक आश्रय में जाना पड़ा।,Bhubaneswar,20.2961,85.8245,1,hi,1.0
"आपातकालीन सायरन बज रहे हैं, सुनामी की पुष्टि।",Chennai,13.0827,80.2707,2,hi,1.0
வெள்ளம் பாதித்த பகுதிகளில் அவசர மின்சாரம் மீண்டும் வழங்கப்பட்டுள்ளது.,Khammam,17.2473,80.1514,1,tn,3.0
സുനാമി നാശത്തിന്റെ വ്യാപ്തിയിൽ ലോകത്തെ ഞെട്ടിക്കുന്നു.,Cuttack,20.4625,85.8828,2,ml,2.0
சுனாமியால் கடலோர உள்கட்டமைப்பு அழிக்கப்பட்டது.,Ratnagiri,16.9902,73.312,2,tn,3.0
समुद्र तट पर लुका-छिपी खेलते हुए हँसते बच्चे।,Puducherry,11.9416,79.8083,0,hi,1.0
Children building sandcastles by the beach.,Daman,20.3974,72.8311,0,en,0.0
समुद्र तट के किनारे रंगीन पतंगें उड़ाते बच्चे।,Paradeep,20.3167,86.6167,0,hi,1.0
സൂര്യൻ അസ്തമിക്കുമ്പോൾ കയ്യടക്കുന്ന ആളുകൾ.,Paradeep,20.3167,86.6167,0,ml,2.0
നദീതീരത്തെ റെസ്റ്റോറന്റിൽ മെഴുകുതിരി വെളിച്ചത്തിൽ അത്താഴം ആസ്വദിക്കുന്ന ദമ്പതികൾ.,Nagpur,21.1458,79.0882,0,ml,2.0
തെളിഞ്ഞ ദിവസം കടൽത്തീരം ആസ്വദിക്കുന്ന കുടുംബങ്ങൾ.,Cuttack,20.4625,85.8828,0,ml,2.0
ஆற்று உடைப்பிற்குப் பிறகு முக்கிய வெள்ள எச்சரிக்கை விடுக்கப்பட்டுள்ளது.,Kolkata,22.5726,88.3639,1,tn,3.0
Roads washed away by intense flooding.,Raichur,16.216,77.3566,1,en,0.0
வண்ணமயமான பட்டாசுகளுடன் மக்கள் தீபாவளியை கொண்டாடுகிறார்கள்.,Lucknow,26.8467,80.9462,0,tn,3.0
சுனாமி அலைகள் உள்நோக்கி sweeping.,Goa,15.4909,73.8278,2,tn,3.0
சுனாமி அலைகளால் பாரம்பரிய தளங்கள் சேதமடைந்தன.,Agra,27.1767,78.0081,2,tn,3.0
बाढ़ ने रातोंरात पुलों को बहा दिया।,Ahmedabad,23.0225,72.5714,1,hi,1.0
Ocean monitoring buoys detecting tsunami potential.,Yanam,16.7333,82.2167,2,en,0.0
कुछ क्षेत्रों में बाढ़ का पानी धीरे-धीरे कम हो रहा है।,Tumkur,13.3392,77.1014,1,hi,1.0
സുനാമി ദുരിതബാധിതരെ ചികിത്സിക്കുന്ന അടിയന്തര മെഡിക്കൽ ടീമുകൾ.,Thoothukudi,8.7642,78.1348,2,ml,2.0
"മഴ കനത്ത വെള്ളപ്പൊക്കത്തിന് കാരണമായി, ആയിരക്കണക്കിന് ആളുകൾക്ക് വൈദ്യുതിയില്ല.",Nagpur,21.1458,79.0882,1,ml,2.0
സുനാമിയിൽ നിന്ന് രക്ഷപ്പെട്ടവർ ജീവിതം പുനർനിർമ്മിക്കുന്നു.,Pune,18.5204,73.8567,2,ml,2.0
സുനാമി അനാഥരെ അഭയകേന്ദ്രങ്ങളിൽ പരിപാലിക്കുന്നു.,Puri,19.8135,85.8312,2,ml,2.0
சுற்றிலும் சிரிப்புடன் குழந்தைகள் தெருக்களில் கிரிக்கெட் விளையாடுகிறார்கள்.,Mumbai,18.975,72.8258,0,tn,3.0
ഉത്സവ രാത്രികളിൽ പടക്കങ്ങൾ കാണുന്ന കുടുംബങ്ങൾ.,Raipur,21.2514,81.6296,0,ml,2.0
सुनामी की लहरों के कारण समुद्र तटों पर भारी कटाव हुआ।,Raipur,21.2514,81.6296,2,hi,1.0
Flood insurance claims processing underway.,Bidar,17.913,77.53,1,en,0.0
ഒരുമിച്ച് പ്രാദേശിക സാംസ്കാരിക വർക്ക്‌ഷോപ്പുകളിൽ പങ്കെടുക്കുന്ന കുടുംബങ്ങൾ.,Guwahati,26.1445,91.7362,0,ml,2.0
കടൽത്തീരത്തെ മാർക്കറ്റിൽ പുതിയ നാളികേരം വാങ്ങുന്ന കുടുംബങ്ങൾ.,Machilipatnam,16.1875,81.1389,0,ml,2.0
Families clapping at a live theater performance.,Guwahati,26.1445,91.7362,0,en,0.0
Flooding confirmed across multiple districts.,Chennai,13.0827,80.2707,1,en,0.0
न्यूज़ चैनल ने बढ़ते जल स्तर के लिए चेतावनी प्रसारित की है।,Indore,22.7196,75.8577,1,hi,1.0
ബ്രേക്കിംഗ് ന്യൂസ്: സുനാമി തീരദേശത്ത് ആഞ്ഞടിച്ചു.,Mangaluru,12.9141,74.856,2,ml,2.0
"Flooding has blocked main roads, avoid travel.",Raipur,21.2514,81.6296,1,en,0.0
बाढ़ के कारण पानी का स्तर अप्रत्याशित रूप से बढ़ा।,Mumbai,18.975,72.8258,1,hi,1.0
சுனாமியிலிருந்து வந்த குப்பைகளால் சாலைகள் தடைபட்டுள்ளன.,Daman,20.3974,72.8311,2,tn,3.0
അന്താരാഷ്ട്ര സുനാമി ദുരിതാശ്വാസ ശ്രമങ്ങൾ ആരംഭിക്കുന്നു.,Daman,20.3974,72.8311,2,ml,2.0
Tourists exploring local art exhibitions with joy.,Mumbai,18.975,72.8258,0,en,0.0
नौसेना के जहाज सुनामी बचाव में सहायता कर रहे हैं।,Thiruvananthapuram,8.5241,76.9366,2,hi,1.0
സുനാമി അടിസ്ഥാന സൗകര്യങ്ങളിൽ സർക്കാർ നിക്ഷേപം നടത്തുന്നു.,Kannur,11.8745,75.3704,2,ml,2.0
സുനാമി ആഞ്ഞടിക്കുമ്പോൾ എല്ലായിടത്തും ഭയം.,Kavaratti,10.5625,72.6378,2,ml,2.0
സുനാമി അവശിഷ്ടങ്ങൾ കാരണം റോഡുകൾ തടസ്സപ്പെട്ടു.,Daman,20.3974,72.8311,2,ml,2.0
സുനാമി സാധ്യത കണ്ടെത്തുന്ന സമുദ്ര നിരീക്ഷണ ബോയകൾ.,Yanam,16.7333,82.2167,2,ml,2.0
കനത്ത വെള്ളപ്പൊക്കത്തിൽ റോഡുകൾ ഒലിച്ചുപോയി.,Raichur,16.216,77.3566,1,ml,2.0
कॉलेज में एक विज्ञान प्रदर्शनी का आनंद लेते छात्र।,Bangalore,12.9716,77.5946,0,hi,1.0
नावें बाढ़ क्षेत्रों से परिवारों को बचा रही हैं।,Chennai,13.0827,80.2707,1,hi,1.0
நேரடி நாடக நிகழ்ச்சியில் குடும்பங்கள் கைதட்டுகிறார்கள்.,Guwahati,26.1445,91.7362,0,tn,3.0
Scientists studying tsunami wave patterns.,Kolkata,22.5726,88.3639,2,en,0.0
സുനാമി മുന്നറിയിപ്പ് സംവിധാനങ്ങൾ നവീകരിക്കുന്നു.,Lucknow,26.8467,80.9462,2,ml,2.0
ഉത്സവത്തിനിടെ ഒരു പ്രശസ്ത ക്ഷേത്രത്തിൽ ഫോട്ടോയെടുക്കുന്ന വിനോദസഞ്ചാരികൾ.,Varanasi,25.3176,82.9739,0,ml,2.0
Children running around happily near the shore.,Haldia,22.0257,88.0583,0,en,0.0
സുനാമി ദുരിതബാധിതരെ രക്ഷിക്കാൻ ബോട്ടുകൾ ഉപയോഗിക്കുന്നു.,Kozhikode,11.2588,75.7804,2,ml,2.0
किनारे के पास भीड़ का मनोरंजन करते स्ट्रीट परफॉर्मर।,Kakinada,16.9891,82.2475,0,hi,1.0
கடற்கரை ஓரம் விலங்குகள் வேடிக்கை பார்க்கின்றன.,Raipur,21.2514,81.6296,0,tn,3.0
സുനാമിയിൽ നിന്ന് രക്ഷപ്പെട്ടവർ മികച്ച തയ്യാറെടുപ്പിനായി വാദിക്കുന്നു.,Varkala,8.7379,76.716,2,ml,2.0
Children are playing happily on the sandy beach.,Mumbai,18.975,72.8258,0,en,0.0
சுனாமி பாதித்த நகரங்களில் மீண்டும் கட்டும் பணி தொடங்குகிறது.,Yanam,16.7333,82.2167,2,tn,3.0
വെള്ളപ്പൊക്ക ഇരകൾക്കായി താൽക്കാലിക താമസസൗകര്യം ഒരുക്കി.,Beed,18.9894,75.7522,1,ml,2.0
घाटों की खोज करते और शाम की आरती का आनंद लेते पर्यटक।,Varanasi,25.3176,82.9739,0,hi,1.0
"पानी को तेज़ी से बढ़ते हुए देख रहा हूँ, सुनामी यहाँ है।",Veraval,20.915,70.3667,2,hi,1.0
Flood victims receiving blankets and water bottles.,Kanpur,26.4499,80.3319,1,en,0.0
நேற்றிரவு வெள்ளத்திற்குப் பிறகு வீடுகள் அழிக்கப்பட்டன.,Bangalore,12.9716,77.5946,1,tn,3.0
सुनामी बचे लोगों के लिए अस्थायी आश्रय स्थापित।,Karwar,14.8136,74.1297,2,hi,1.0
റോഡരികിലെ സ്റ്റാളിൽ പാനി പൂരി ആസ്വദിക്കുന്ന സുഹൃത്തുക്കൾ.,Thane,19.2183,72.9781,0,ml,2.0
बाढ़ से विस्थापित हुए परिवारों के लिए आपातकालीन भोजन किट वितरित।,Ahmedabad,23.0225,72.5714,1,hi,1.0
Tsunami survivors rebuilding their lives.,Pune,18.5204,73.8567,2,en,0.0
Celebrities donating for flood victims.,Bangalore,12.9716,77.5946,1,en,0.0
പ്രധാന ഹൈവേകൾ വെള്ളത്തിൽ മുങ്ങി അടച്ചു.,Chandigarh,30.7333,76.7794,1,ml,2.0
सुनामी निकासी मार्गों को चिह्नित किया जा रहा है।,Nashik,19.9975,73.7898,2,hi,1.0
